,es,ls,rx,a8,a6,3series,5series,7series,xj,sclass
0,,0.0,,0.0,,,,,,-0.16666666666666666
1,,,,0.6,,,,0.5,,0.0
2,,,0.45,,,,,,,
3,,,0.0,,,0.0,,0.0,,0.2
4,,,,,,,,,,0.5
5,,,0.0,,,,,,,-0.16666666666666666
6,,,,0.0,,,,,,
7,,,,0.13636363636363635,,,,,,
8,,0.0,,,,,,0.0,,0.2
9,,,,0.6,,,,,0.4875,
10,,,,0.0,,,,0.0,,
11,,,,0.13636363636363635,0.3181818181818182,,,,,0.25
12,,,,,,0.06818181818181818,,,,0.06818181818181818
13,,,0.0,,,,0.0,,,
14,,,,0.2,,,,-0.8,,-0.5833333333333334
15,,,0.58,,,0.0,,,,
16,,,,0.1,,,,,,
17,,,-0.16666666666666666,,,,,,,
18,,,,,,,,0.30000000000000004,0.0,0.0
19,,,,,,,,-0.16666666666666666,,-0.6666666666666666
20,,,0.0,,,,,,,
21,,,0.0,,,,,,,0.0
22,,0.0,,0.0,,,,,,0.0
23,,,,,0.0,,,,,
24,,,,0.0,,,,,,0.0
25,,,0.0,,,0.24318181818181817,,,,
26,,,,,,,,,,0.0
27,,,,,,,,,,-0.30625
28,,,,0.0,,,,,,0.6833333333333333
29,,,,,,,,,,0.4000000000000001
30,0.0,,0.4880952380952381,,,0.13636363636363635,,0.13636363636363635,,0.25
31,,,-0.09999999999999999,,,0.13636363636363635,,,,
32,,,,0.0,-0.057142857142857134,,,,,0.3
33,,,,0.19444444444444445,,,,,,
34,,,,0.0,,,,,,0.0
35,,,-0.19999999999999998,,,,,,,
36,,,,0.5,,,,0.0,,0.0
37,,0.3,,,,,,,,1.0333333333333332
38,,,1.1,,,,,,,
39,,0.0,,-0.12916666666666668,,,,0.06818181818181818,0.0,0.3
40,,,,,,,,,0.0,
41,0.0,,0.0,,,,,,,
42,,,0.0,,,,,,,0.0
43,,,,0.0,,,,,,
44,0.0,0.0,,,,,,,,
45,,,,0.0,-0.05,,,,,
46,,,-0.25,,,,,0.0,,
47,,,,,,,,,,0.0
48,,,,,,,,,,0.1875
49,,,,0.0,,,,0.25,,0.0
50,,,,,,,,0.0,,-0.2
51,,0.28125,,0.375,,,,,,0.5
52,,,,,,,,,,0.0
53,,,,0.25,0.25,,,,,
54,,,,0.0,,,,0.4,,0.0
55,,,,0.20000000000000004,0.0,,,,,
56,,,,0.0,,,,,,0.8
57,,,0.0,,,,,,,
58,,,,,,,,,,0.5
59,,,,0.35,,,,0.1,,
60,,,,-0.37916666666666665,0.0,,,,,
61,,,,0.21428571428571427,,,,,,0.26136363636363635
62,0.0,,,0.0,,,,,,0.0
63,,,0.0,,,,,,,0.6
64,,,,,0.16666666666666666,,,,,
65,,,0.0,,,0.0,,,,0.0
